,count,mean,std,min,25%,50%,75%,max
Age,858.0,26.82051282051282,8.497948065482596,13.0,20.0,25.0,32.0,84.0
Number of sexual partners,832.0,2.527644230769231,1.6677604771839054,1.0,2.0,2.0,3.0,28.0
First sexual intercourse,851.0,16.995299647473562,2.8033553841969017,10.0,15.0,17.0,18.0,32.0
Num of pregnancies,802.0,2.275561097256858,1.4474140691327373,0.0,1.0,2.0,3.0,11.0
Smokes,845.0,0.1455621301775148,0.3528755570364017,0.0,0.0,0.0,0.0,1.0
Smokes (years),845.0,1.219721412585799,4.089016937562997,0.0,0.0,0.0,0.0,37.0
Smokes (packs/year),845.0,0.4531439506492308,2.2266098026053953,0.0,0.0,0.0,0.0,37.0
Hormonal Contraceptives,750.0,0.6413333333333333,0.4799291595848794,0.0,0.0,1.0,1.0,1.0
Hormonal Contraceptives (years),750.0,2.2564192013893334,3.7642535291465054,0.0,0.0,0.5,3.0,30.0
IUD,741.0,0.11201079622132254,0.31559275827001043,0.0,0.0,0.0,0.0,1.0
IUD (years),741.0,0.5148043184885289,1.9430885475317108,0.0,0.0,0.0,0.0,19.0
STDs,753.0,0.1049136786188579,0.3066458457562428,0.0,0.0,0.0,0.0,1.0
STDs (number),753.0,0.17662682602921648,0.5619928353566201,0.0,0.0,0.0,0.0,4.0
STDs:condylomatosis,753.0,0.05843293492695883,0.23471619027599686,0.0,0.0,0.0,0.0,1.0
STDs:cervical condylomatosis,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STDs:vaginal condylomatosis,753.0,0.005312084993359893,0.07273852600189898,0.0,0.0,0.0,0.0,1.0
STDs:vulvo-perineal condylomatosis,753.0,0.057104913678618856,0.23219720820836717,0.0,0.0,0.0,0.0,1.0
STDs:syphilis,753.0,0.02390438247011952,0.15285284048760792,0.0,0.0,0.0,0.0,1.0
STDs:pelvic inflammatory disease,753.0,0.0013280212483399733,0.03644202585395018,0.0,0.0,0.0,0.0,1.0
STDs:genital herpes,753.0,0.0013280212483399733,0.03644202585395018,0.0,0.0,0.0,0.0,1.0
STDs:molluscum contagiosum,753.0,0.0013280212483399733,0.03644202585395018,0.0,0.0,0.0,0.0,1.0
STDs:AIDS,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STDs:HIV,753.0,0.02390438247011952,0.15285284048760792,0.0,0.0,0.0,0.0,1.0
STDs:Hepatitis B,753.0,0.0013280212483399733,0.03644202585395018,0.0,0.0,0.0,0.0,1.0
STDs:HPV,753.0,0.0026560424966799467,0.051502529309489134,0.0,0.0,0.0,0.0,1.0
STDs: Number of diagnosis,858.0,0.08741258741258741,0.3025447418507476,0.0,0.0,0.0,0.0,3.0
STDs: Time since first diagnosis,71.0,6.140845070422535,5.8950239903737875,1.0,2.0,4.0,8.0,22.0
STDs: Time since last diagnosis,71.0,5.816901408450704,5.7552705264824855,1.0,2.0,3.0,7.5,22.0
Dx:Cancer,858.0,0.02097902097902098,0.1433975861165658,0.0,0.0,0.0,0.0,1.0
Dx:CIN,858.0,0.01048951048951049,0.10193915867747837,0.0,0.0,0.0,0.0,1.0
Dx:HPV,858.0,0.02097902097902098,0.1433975861165658,0.0,0.0,0.0,0.0,1.0
Dx,858.0,0.027972027972027972,0.1649888484215437,0.0,0.0,0.0,0.0,1.0
Hinselmann,858.0,0.04079254079254079,0.19792464966613474,0.0,0.0,0.0,0.0,1.0
Schiller,858.0,0.08624708624708624,0.2808923013686258,0.0,0.0,0.0,0.0,1.0
Citology,858.0,0.05128205128205128,0.22070109393249174,0.0,0.0,0.0,0.0,1.0
Biopsy,858.0,0.0641025641025641,0.2450784147471607,0.0,0.0,0.0,0.0,1.0
