,0
Schiller,0.376949228543068
Hinselmann,0.13497072869818366
First sexual intercourse,0.06570808944005578
Age,0.062405938840943566
Citology,0.06060562115497923
Hormonal Contraceptives (years),0.04595258182658953
Number of sexual partners,0.04407095302570465
Num of pregnancies,0.03999743642640772
Dx,0.02842907123002662
Dx:CIN,0.024335331429780276
IUD (years),0.018332841493093555
IUD,0.008812567641891051
Hormonal Contraceptives,0.008442370693510105
STDs: Time since first diagnosis,0.008297616050245553
Dx:HPV,0.008278537328793203
Smokes (packs/year),0.007804288739134379
Smokes (years),0.007719523586507069
STDs: Number of diagnosis,0.007624380538417365
STDs: Time since last diagnosis,0.007159481936818992
Dx:Cancer,0.006336342403020679
STDs:HIV,0.006199219309179523
STDs (number),0.005930535236103552
STDs,0.004325117738684076
Smokes,0.003934920916689573
STDs:condylomatosis,0.0028435016272243116
STDs:vulvo-perineal condylomatosis,0.002459678649995614
STDs:syphilis,0.0018293837654579322
STDs:HPV,0.00010311831465434911
STDs:vaginal condylomatosis,9.613227611586362e-05
STDs:Hepatitis B,2.771933029200519e-05
STDs:pelvic inflammatory disease,1.7741808432217706e-05
STDs:cervical condylomatosis,0.0
STDs:molluscum contagiosum,0.0
STDs:AIDS,0.0
STDs:genital herpes,0.0
