feature,importance_mean,importance_std
Schiller,0.6313725490196076,0.05022058225437529
STDs,0.04313725490196071,0.03373460889036321
STDs:syphilis,0.007843137254901949,0.019996154955265796
Dx,0.003921568627450974,0.014673166222642885
IUD (years),0.003921568627450974,0.014673166222642883
IUD,0.003921568627450974,0.014673166222642883
Num of pregnancies,0.003921568627450944,0.04539543883447143
Dx:HPV,0.0,0.0
STDs: Time since first diagnosis,0.0,0.0
STDs: Time since last diagnosis,0.0,0.0
STDs:condylomatosis,0.0,0.0
STDs:cervical condylomatosis,0.0,0.0
STDs:vaginal condylomatosis,0.0,0.0
STDs:pelvic inflammatory disease,0.0,0.0
STDs (number),0.0,0.0
STDs:molluscum contagiosum,0.0,0.0
STDs:genital herpes,0.0,0.0
Hormonal Contraceptives,0.0,0.0
Smokes (years),0.0,0.0
STDs: Number of diagnosis,0.0,0.0
STDs:HPV,0.0,0.0
STDs:AIDS,0.0,0.0
Dx:Cancer,0.0,0.0
STDs:Hepatitis B,0.0,0.0
STDs:HIV,-0.003921568627450981,0.014673166222642912
STDs:vulvo-perineal condylomatosis,-0.003921568627450981,0.014673166222642912
Hinselmann,-0.007843137254901962,0.01999615495526583
Citology,-0.007843137254901962,0.01999615495526583
Dx:CIN,-0.007843137254901962,0.01999615495526583
Number of sexual partners,-0.011764705882352944,0.02352941176470589
Age,-0.03921568627450981,0.027729677693590103
First sexual intercourse,-0.04313725490196079,0.039992309910531654
Hormonal Contraceptives (years),-0.04313725490196079,0.026012743453767848
Smokes,-0.05490196078431374,0.01467316622264291
Smokes (packs/year),-0.05882352941176472,0.0
